PersonId,PlanYear,BenId,OptionId1,TierId1,EffectiveDate1,EoiPend1,ElectedAmount1,Termed1,CovAmt1,EventCode1,Thumbprint1,Transition,OptionId2,TierId2,EffectiveDate2,EoiPend2,ElectedAmount2,Termed2,CovAmt2,EventCode2,Thumbprint2,Result,BenefitAnalysis,OptionAnalysis,TierAnalysis,EffectiveDateAnalysis,EOIPendAnalysis,CovAmtAnalysis
1003,2024,13,1,0,2022-01-31 15:30:00,0,0.00,1,NULL,210,4F6B4A950425F1469D9C1E990ECEBAA61E2EC497,===>,1,0,2024-06-01 00:00:00,0,0.00,0,0.00,105,A36D581228C622AF37B0573048557CB27D2FC094,===>>,NO CHANGE,NO CHANGE,NO CHANGE,CHANGED,NO CHANGE,NO COMPARE
1003,2024,405,0,0,2022-01-31 15:30:00,0,0.00,1,NULL,210,742B12DCD18E7602EA51C217C0B4C980E9024406,===>,0,0,2024-06-01 00:00:00,0,0.00,0,0.00,105,294476574D20652F5C49B8DEA55495B377B9F1E7,===>>,NO CHANGE,NO CHANGE,NO CHANGE,CHANGED,NO CHANGE,NO COMPARE
1024,2024,2,3,4,2021-05-01 00:00:00,0,0.00,0,0.00,100,11385B604017CB83F11A48E64158EC880900428D,===>,3,4,2021-05-01 00:00:00,0,0.00,1,NULL,210,CC843F365CC9BD524DF144DDA4CEA70C249E05F3,===>>,NO CHANGE,TERM,NO CHANGE,NO CHANGE,NO CHANGE,NO COMPARE
1024,2024,18,1,2,2024-05-01 00:00:00,0,0.00,0,8300.00,100,69484EFCA5978029D30B547B691470B5A99D4C14,===>,1,2,2024-05-01 00:00:00,0,0.00,1,NULL,210,C5BC4C0F631D075149390C895C7BAD2955828C40,===>>,NO CHANGE,TERM,NO CHANGE,NO CHANGE,NO CHANGE,NO COMPARE
1054,2024,9,5,0,2021-05-01 00:00:00,0,0.00,1,NULL,301,425D5D373BE2F0AABCEA86EB1D3D1B852ECA4195,===>,5,0,2021-05-01 00:00:00,0,0.00,1,NULL,602,0971B03D6EB53244868A25E39DA2FC89323D2674,===>>,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO COMPARE
1057,2024,2,3,4,2022-05-01 00:00:00,0,0.00,1,NULL,210,9A32F760A9DEA6D20C86E7A3683176D9A9A26C2C,===>,3,4,2024-06-05 00:00:00,0,0.00,0,0.00,105,6A804DF74FFA03AD45467E1DA9A40C3D82E80D74,===>>,NO CHANGE,NO CHANGE,NO CHANGE,CHANGED,NO CHANGE,NO COMPARE
1057,2024,9,2,0,2021-05-01 00:00:00,0,0.00,1,NULL,210,C3EF92B96CC8815B03C671537F14FC6B5B6DBD78,===>,2,0,2024-06-05 00:00:00,0,0.00,0,600.00,105,714FDC83A884653A7860C2F19AAF5969078A28B2,===>>,NO CHANGE,NO CHANGE,NO CHANGE,CHANGED,NO CHANGE,NO COMPARE
1057,2024,12,0,0,2024-05-01 00:00:00,0,0.00,1,NULL,210,C38905298263EB597E00C17649E810B3D6FDBAD0,===>,0,0,2024-06-05 00:00:00,0,0.00,0,0.00,105,D078A60B630A5CF76B43F49B83098932568FAA45,===>>,NO CHANGE,NO CHANGE,NO CHANGE,CHANGED,NO CHANGE,NO COMPARE
1079,2024,8,2,0,2021-05-01 00:00:00,0,0.00,0,123000.00,100,780F4A0B52CF7546A41B5855E502C69AA4F170B1,===>,2,0,2021-05-01 00:00:00,0,0.00,0,123000.00,444,8AC702CF70F8D8EF67BBE782E1F5151A869BC657,===>>,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE
1079,2024,403,0,0,2022-01-31 15:30:00,0,0.00,0,0.00,100,9D8F04532EE40B813F29ABC5DADC232348D8B48E,===>,0,0,2022-01-31 15:30:00,0,0.00,0,0.00,444,3764850BCAD5346ADA02547D23649BAC85D70ADB,===>>,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE
1099,2024,4,2,0,2023-05-01 00:00:00,0,0.00,0,59000.00,100,E3C82A6826DEDD5B68CD135F5A02457406EE6273,===>,2,0,2023-05-01 00:00:00,0,0.00,1,NULL,201,6E74270123CB51917B147E25B110A65B067E4F57,===>>,NO CHANGE,TERM,NO CHANGE,NO CHANGE,NO CHANGE,NO COMPARE
1099,2024,33,1,0,2023-05-01 00:00:00,0,0.00,0,0.00,100,8EB911077865D29795F32112604224DA5B1F2487,===>,1,0,2023-05-01 00:00:00,0,0.00,1,NULL,201,F8153013D183371E08288D633245B0DBD4D3E6FE,===>>,NO CHANGE,TERM,NO CHANGE,NO CHANGE,NO CHANGE,NO COMPARE
1107,2024,9,1,0,2021-05-01 00:00:00,0,0.00,0,250.00,100,4385D2292319F0FFA72ACAA199D795382A791BF0,===>,2,0,2024-05-01 00:00:00,0,0.00,0,600.00,100,C9356AE580CA73E07ED203F44FA714FD4AA6F2E9,===>>,NO CHANGE,CHANGE,NO CHANGE,CHANGED,NO CHANGE,INCREASE
